id,cefr,complexity,words,language
0725,A2+,2.3103754817555844,143,cs
0801,A2+,1.875910805327637,103,cs
0802,A2+,1.671745402473215,96,cs
0803,A2+,2.4359246906320497,124,cs
0804,A2+,1.8603181336789791,116,cs
0805,B1,1.8994054338784472,117,cs
0806,A2+,2.6611169282241165,145,cs
0807,B1,1.900452589129219,113,cs
0808,A2+,2.3414726523076226,120,cs
0809,B1,2.2635195950096447,120,cs
0810,A2+,2.2756057647167194,115,cs
0811,B1,2.320804626228319,128,cs
0812,A2+,1.622975929998404,96,cs
0813,A2+,1.6010628980488706,104,cs
0814,A2+,1.9778138468712696,92,cs
0815,B1,2.0831733989698824,151,cs
0816,B1+,3.736522170159632,124,cs
0817,A2+,2.3209762348082403,102,cs
0818,A2+,1.7975158982064183,105,cs
0819,B2,2.8468434188836214,140,cs
0820,A2+,2.4795911579359404,81,cs
0821,B1,3.17781498813972,174,cs
0822,A2+,2.40265863393784,100,cs
0823,B1,2.3763127145211165,123,cs
0824,A2+,1.8306944826004543,109,cs
0825,A2+,2.5033005116283755,121,cs
0826,A2+,2.162413514405584,107,cs
0827,A2+,2.282766383699201,104,cs
0828,B1,2.611187324397621,108,cs
0829,A2+,2.208520570527299,180,cs
0901,B1+,3.174721696348724,139,cs
0902,B1,2.4243061684136946,118,cs
0903,A2+,2.4329712846612,120,cs
0904,A2+,2.272057609889575,105,cs
0905,B1,2.894980496106988,124,cs
0906,B1,2.5439793768604217,143,cs
0907,B1,2.96493304352333,161,cs
0910,A2+,1.8024047004765151,103,cs
0911,A2+,2.0742335648812187,126,cs
0912,B1,2.356585395993926,179,cs
0913,B1,2.390226320329286,114,cs
0914,A2+,2.5508939719584185,123,cs
0915,B1+,2.7332421958060955,130,cs
0916,A2+,2.270736567245506,136,cs
0917,A2+,2.622772612940547,115,cs
0918,A2+,2.8539229358154614,108,cs
0919,A2+,2.4005539306972725,114,cs
0920,B1,2.3322514634796976,182,cs
0921,A2+,2.116327815563259,106,cs
0922,A2,1.8266516528378176,117,cs
0923,B1,2.405466031840235,123,cs
0924,A2+,1.7562337719625547,105,cs
0925,B1,1.963191486106504,138,cs
0926,B1,2.036890009738204,157,cs
0927,B1,2.226692545571739,101,cs
0928,B1,2.584831341126187,195,cs
